,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized,Recomendacao_Planejamento
0,1,B001,H001,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1408,1,24,1.0,22.0,11.0,27195,24
1,2,B002,H002,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1005,1,24,1.0,30.0,15.0,53431,24
2,3,B003,H003,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1448,2,24,1.0,16.0,8.0,26942,24
3,4,B004,H004,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1369,1,24,1.0,14.0,7.0,26415,24
4,5,B005,H005,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1534,1,24,1.0,12.0,6.0,26391,24
5,6,B006,H006,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1788,1,24,1.0,30.0,15.0,51180,24
6,7,B007,H007,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1387,2,24,1.0,18.0,9.0,27653,24
7,8,B008,H008,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1249,1,24,1.0,24.0,12.0,51276,24
8,9,B009,H009,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1737,2,24,1.0,34.0,17.0,52275,24
9,10,B010,H010,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1250,2,24,1.0,30.0,15.0,53911,24
10,11,B011,H011,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1461,2,24,1.0,14.0,7.0,27518,24
11,12,B012,H012,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1598,1,24,1.0,30.0,15.0,53726,24
12,13,B013,H013,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1456,2,24,1.0,26.0,13.0,54878,24
13,14,B014,H014,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1716,2,24,1.0,14.0,7.0,28258,24
14,15,B015,H015,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1641,1,24,1.0,36.0,18.0,52428,24
15,16,B016,H016,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1184,2,24,1.0,14.0,7.0,26002,24
16,17,B017,H017,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1510,1,24,1.0,24.0,12.0,51011,24
17,18,B018,H018,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1728,2,24,1.0,24.0,12.0,52191,24
18,19,B019,H019,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1768,2,24,1.0,32.0,16.0,52073,24
19,20,B020,H020,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1323,2,24,1.0,16.0,8.0,26135,24
20,21,B021,H021,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1328,1,24,1.0,16.0,8.0,27316,24
21,22,B022,H022,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1388,1,24,1.0,26.0,13.0,54142,24
22,23,B023,H023,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1693,2,24,1.0,30.0,15.0,53837,24
23,24,B024,H024,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1459,2,24,1.0,12.0,6.0,25771,24
24,25,B025,H025,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1746,1,24,1.0,12.0,6.0,29992,24
25,26,B026,H026,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,2032,1,24,1.0,28.0,14.0,52693,24
26,27,B027,H027,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1530,2,24,1.0,22.0,11.0,55608,24
27,28,B028,H028,Safrinha,PS3,V4,PEPT,0,2022_04,20376,>1900,2055,2,24,1.0,30.0,15.0,54428,24
28,29,B029,H029,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1475,2,24,1.0,28.0,14.0,54071,24
29,30,B030,H030,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1570,2,24,1.0,18.0,9.0,25682,24
30,31,B031,H031,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1160,1,24,1.0,14.0,7.0,28861,24
31,32,B032,H032,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1676,1,24,1.0,14.0,7.0,26381,24
32,33,B033,H033,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1532,1,24,1.0,34.0,17.0,53488,24
33,34,B034,H034,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1279,2,24,1.0,28.0,14.0,52865,24
34,35,B035,H035,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1535,2,24,1.0,30.0,15.0,53579,24
35,36,B036,H036,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1452,2,24,1.0,30.0,15.0,53173,24
36,37,B037,H037,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1441,2,24,1.0,18.0,9.0,26568,24
37,38,B038,H038,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1200,1,24,1.0,24.0,12.0,51955,24
38,39,B039,H039,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1760,2,24,1.0,30.0,15.0,54169,24
39,40,B040,H040,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1468,2,24,1.0,14.0,7.0,27139,24
40,41,B041,H041,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1576,1,24,1.0,20.0,10.0,25879,24
41,42,B042,H042,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1052,1,24,1.0,26.0,13.0,52799,24
42,43,B043,H043,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1651,2,24,1.0,26.0,13.0,53119,24
43,44,B044,H044,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1661,2,24,1.0,18.0,9.0,26280,24
44,45,B045,H045,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1187,1,24,1.0,16.0,8.0,27375,24
45,46,B046,H046,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1391,1,24,1.0,12.0,6.0,25727,24
46,47,B047,H047,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1743,1,24,1.0,28.0,14.0,54828,24
47,48,B048,H048,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1592,2,24,1.0,12.0,6.0,29550,24
48,49,B049,H049,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,>1900,2002,1,24,1.0,34.0,17.0,53153,24
49,50,B050,H050,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1271,2,24,1.0,30.0,15.0,52619,24
50,51,B051,H051,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1426,2,24,1.0,30.0,15.0,51106,24
51,52,B052,H052,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1385,2,24,1.0,12.0,6.0,30258,24
52,53,B053,H053,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,2050,1,24,1.0,16.0,8.0,28674,24
53,54,B054,H054,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1457,1,24,1.0,16.0,8.0,26312,24
54,55,B055,H055,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1337,1,24,1.0,34.0,17.0,51690,24
55,56,B056,H056,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1236,2,24,1.0,20.0,10.0,27650,24
56,57,B057,H057,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1124,1,24,1.0,34.0,17.0,53655,24
57,58,B058,H058,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1283,2,24,1.0,24.0,12.0,51542,24
58,59,B059,H059,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1746,2,24,1.0,26.0,13.0,51104,24
59,60,B060,H060,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,1.0,14.0,7.0,28654,24
60,61,B061,H061,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1664,1,24,1.0,36.0,18.0,52295,24
61,62,B062,H062,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1181,2,24,1.0,18.0,9.0,27431,24
62,63,B063,H063,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1239,1,24,1.0,32.0,16.0,53530,24
63,64,B064,H064,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1360,2,24,1.0,12.0,6.0,27542,24
64,65,B065,H065,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1866,1,24,1.0,28.0,14.0,54381,24
65,66,B066,H066,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1579,2,24,1.0,14.0,7.0,27810,24
66,67,B067,H067,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1615,1,24,1.0,16.0,8.0,28497,24
