,hyb_index,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized
0,0,1.0,16.0,8.0,27709.44
1,1,1.0,22.0,11.0,27195.300000000003
2,10,1.0,30.0,15.0,53910.9
3,100,1.0,12.0,6.0,28117.800000000003
4,101,1.0,30.0,15.0,53541.9
5,102,1.0,14.0,7.0,28602.42
6,103,1.0,40.0,20.0,51906.0
7,104,1.0,32.0,16.0,51404.159999999996
8,105,1.0,24.0,12.0,52575.12
9,106,1.0,16.0,8.0,28595.04
10,107,1.0,26.0,13.0,52127.399999999994
11,108,1.0,30.0,15.0,51475.5
12,109,1.0,14.0,7.0,27000.96
13,11,1.0,14.0,7.0,27517.559999999998
14,110,1.0,26.0,13.0,53086.799999999996
15,111,1.0,22.0,11.0,51657.54
16,112,1.0,30.0,15.0,51069.6
17,113,1.0,18.0,9.0,26612.28
18,114,1.0,14.0,7.0,27999.72
19,115,1.0,22.0,11.0,51603.420000000006
20,116,1.0,16.0,8.0,27040.32
21,117,1.0,16.0,8.0,28260.48
22,118,1.0,32.0,16.0,52545.6
23,119,1.0,20.0,10.0,52840.8
24,12,1.0,30.0,15.0,53726.399999999994
25,120,1.0,12.0,6.0,27999.72
26,121,1.0,30.0,15.0,53578.8
27,122,1.0,18.0,9.0,28427.76
28,123,1.0,14.0,7.0,26432.7
29,124,1.0,26.0,13.0,52319.28
30,125,1.0,26.0,13.0,52159.38
31,126,1.0,16.0,8.0,27197.76
32,127,1.0,14.0,7.0,25640.58
33,128,1.0,26.0,13.0,51104.04
34,129,1.0,18.0,9.0,28206.36
35,13,1.0,26.0,13.0,54877.67999999999
36,130,1.0,12.0,6.0,26110.44
37,131,1.0,24.0,12.0,53667.36
38,132,1.0,14.0,7.0,27483.12
39,133,1.0,16.0,8.0,28890.239999999998
40,134,1.0,44.0,22.0,51901.079999999994
41,135,1.0,28.0,14.0,52279.92
42,136,1.0,32.0,16.0,53490.24
43,137,1.0,34.0,17.0,51187.68
44,138,1.0,34.0,17.0,52484.100000000006
45,139,1.0,14.0,7.0,28309.68
46,14,1.0,14.0,7.0,28258.02
47,140,1.0,16.0,8.0,27611.04
48,141,1.0,30.0,15.0,54390.6
49,142,1.0,34.0,17.0,52944.12
50,143,1.0,16.0,8.0,26981.28
51,144,1.0,36.0,18.0,52870.31999999999
52,145,1.0,28.0,14.0,53829.72
53,146,1.0,30.0,15.0,51475.5
54,147,1.0,20.0,10.0,53849.399999999994
55,148,1.0,14.0,7.0,26243.28
56,149,1.0,14.0,7.0,28258.02
57,15,1.0,36.0,18.0,52427.52
58,16,1.0,14.0,7.0,26002.2
59,17,1.0,24.0,12.0,51010.56
60,18,1.0,24.0,12.0,52191.36
61,19,1.0,32.0,16.0,52073.28
62,2,1.0,30.0,15.0,53431.2
63,20,1.0,16.0,8.0,26135.04
64,21,1.0,16.0,8.0,27315.84
65,22,1.0,26.0,13.0,54142.14
66,23,1.0,30.0,15.0,53837.1
67,24,1.0,12.0,6.0,25770.96
68,25,1.0,12.0,6.0,29992.32
69,26,1.0,28.0,14.0,52693.2
70,27,1.0,22.0,11.0,55608.3
71,28,1.0,30.0,15.0,54427.5
72,29,1.0,28.0,14.0,54070.799999999996
73,3,1.0,16.0,8.0,26941.92
74,30,1.0,18.0,9.0,25682.399999999998
75,31,1.0,14.0,7.0,28860.72
76,32,1.0,14.0,7.0,26381.039999999997
77,33,1.0,34.0,17.0,53487.78
78,34,1.0,28.0,14.0,52865.4
79,35,1.0,30.0,15.0,53578.8
80,36,1.0,30.0,15.0,53172.9
81,37,1.0,18.0,9.0,26568.0
82,38,1.0,24.0,12.0,51955.200000000004
83,39,1.0,30.0,15.0,54169.2
84,4,1.0,14.0,7.0,26415.48
85,40,1.0,14.0,7.0,27138.72
86,41,1.0,20.0,10.0,25879.2
87,42,1.0,26.0,13.0,52798.98
88,43,1.0,26.0,13.0,53118.78
89,44,1.0,18.0,9.0,26280.18
90,45,1.0,16.0,8.0,27374.88
91,46,1.0,12.0,6.0,25726.68
92,47,1.0,28.0,14.0,54828.48
93,48,1.0,12.0,6.0,29549.52
94,49,1.0,34.0,17.0,53153.22
95,5,1.0,12.0,6.0,26390.879999999997
96,50,1.0,30.0,15.0,52619.4
97,51,1.0,30.0,15.0,51106.5
98,52,1.0,12.0,6.0,30258.0
99,53,1.0,16.0,8.0,28673.76
100,54,1.0,16.0,8.0,26312.16
101,55,1.0,34.0,17.0,51689.52
102,56,1.0,20.0,10.0,27650.4
103,57,1.0,34.0,17.0,53655.06
104,58,1.0,24.0,12.0,51541.92
105,59,1.0,26.0,13.0,51104.04
106,6,1.0,30.0,15.0,51180.3
107,60,1.0,14.0,7.0,28654.08
108,61,1.0,36.0,18.0,52294.67999999999
